Summary_clean,Sentiment
best item worth money paid,positive
good,positive
super,positive
awesome one best cyclewith accessories good service overallworth,positive
ok verry small size quality good,neutral
awesome love,positive
nice design quality everyone like packaging awesome,positive
super achcha hai thank flip kad,positive
dont like flipkarts product genuine product looks like quality product,neutral
good like,positive
good product best pricethe handle bat bulkyit couses complexity drive flick balland lower part bat good,negative
mind blowing blanket soft warm cozy,positive
good one fast processing value money nice one,positive
amazing product must buy,positive
nice product motion sensor work good,positive
wowbut shipping fee much,neutral
thank much flipkart,positive
nice shoes like thanks flipkart,positive
nice product thanks filipkart,positive
nice one,positive
ok ok,neutral
absolutely good productshows time everything,positive
nice sound great bass,positive
febric bad fitting best,positive
awesome product,positive
worst fan dont fan,negative
liked fragrance much packaging awesome cute lookits handy pocket perfume important thing likedwe get many size bellavita oud perfume one fav perfumeim love,positive
goodfor washing bikes,positive
nice picture tks,positive
product awesome,positive
badfor money,neutral
good look good,positive
wow nicethank filipkar,positive
nice product,positive
good kwality,positive
bad car size poor quality,negative
small waste money,negative
excellent productfor keeping books strong sturdy,positive
nice good quality,positive
delivered tody looks wise price performance best best delay delivery happy,positive
thank,positive
cooler cable increased,positive
nice nice surt,positive
hours charge charging charge full,negative
working well,positive
product bat,neutral
excellent convenient,positive
fine product,positive
good fabric fitting,positive
good product good quality,positive
really nice fragrance,positive
good rod ar steel,positive
grinding capacity good,negative
started using last month taste good bislery kinley water available market however gives purified water taste really looking ultra pure water invest,negative
good prodact,positive
wery good product,positive
good quality,positive
good product,positive
darun,positive
nice small size,neutral
nice product good quality,positive
dark black kajal,positive
good qualityfast installation overall satisfied products,positive
good value moneyi love grip,positive
size aspects,negative
excellent,positive
poor quality,negative
super,positive
good producti happy,positive
quality much good,neutral
good compact product good plastic material product coming jug plastic knife clean container useful little bit noisy makes difference taking less space kitchen easy place jar motor perfect product daily kitchen work prepared mango shake minimal time enjoy use cleaning jar easy overall say worth money hear image product,positive
bad product,negative
shown picture quality good,positive
quality ok,positive
really good product paint removed places lighting good,positive
bad,negative
good product value money,positive
superb quality,positive
excellent product reasonable priceso happythankyou flipkart team,positive
great product remember constant use minutes,positive
functioning well,negative
nicelets see use,positive
bad product please dont take,negative
comfortable ride worth money youth try buying perfect fitness,positive
useful kids years,positive
cleaning well,positive
complaints tv complaint jeevs idiots tht wont give good responce pupils,negative
unbelievable price range smart tv loving daughter loves due ease usage,positive
nice product,positive
mixer jar cheap qualityafter use days broken,neutral
waist product small size waist product waist money,negative
nice set top box good picture quality,positive
one light work,negative
good product vacuum system good,positive
according price good,positive
bad,negative
mast quality,neutral
look good feel happy,positive
best brightest less,positive
solid product go,positive
nice,positive
good sewing machine lot built stitches beginner huge step old sewing machine stops working thick clothes like pants stuff,positive
bad,negative
good,positive
one best desert cooler honest opinion give proper ventilation front cooler get cool air like ac price segment superb go without hesitationi give north west indian summer days,positive
good one,positive
good helpful household works,positive
thousand best tv picture quality nice thank flipkart thank thomson,positive
nice cushion go,positive
ok costly product small office use emergency commercial use,negative
good,positive
good setupbox,positive
much heating performance ok low sound design looking good,neutral
best performance beautiful look comforts portability,positive
best tablet small,positive
though delivered late product nice,positive
thanks flipkart,positive
paper quality baddidnt expect studyiq,negative
used tb since year two external hard disk company single issuebefore used seagate two time data collection one replacement issue encounteredgo good,positive
features super,positive
good looming,positive
good product quick delivery,positive
average product,neutral
reducing star giving sediment filter,negative
strong awesome product go,positive
minde blowing,positive
amazing really beautifullove thank flipcart,positive
good product iam satisfied,positive
sweaty earearache hour use,neutral
size comfortable,negative
super,positive
amazing tv,positive
got defective piece working year also throughout autocut problem,negative
ifb great product dishwasher spacious cleans like charm various wash optionsbest less noise level dbarea manager quick enough resolving issue technician overall awesome product,positive
perfect inverter works seamlessly using last years bit noisy notification sounds mute mute buzzer option press onoff times button continously within seconds thats,positive
easy use certificate generation nice,positive
noise reduction good product,positive
user friendly alexa also far better terms response,positive
good product delivery person nice,positive
welli bought food processor mom replacement old inalsa maxie plus food processor gave long time service yearswell broken could fixed went ahead bought new food processorcame attachments good sturdy plastics used old maxie plus model difference new food processor body different looked sleek compactdoes functions like old maxie,positive
good flipkart service customer satisfaction good good,positive
good buttons feel cheap click touch plenty features go sounds awesome per opinion good recommend per price point,positive
awesome best watching movies,positive
heavily build quality awesome rgp coloring nice,positive
noise mixing timesmell plastic heat problem,negative
unable connect phone via bluetooth useless product mewest money feeling cheatedreally disappointed,negative
poor build quality fittings perfect also manual provided lot valuable time,negative
wery nice,positive
excellent productvery happy purchase,positive
excellent product,positive
cool product,positive
clear sounds allows hear even faint background music bass good powerful still acceptable good battery backup received upto hours great product,positive
nice product,positive
best cushionafter use one week well packed item quality item happy,positive
love good product good quality,positive
perfect years daughter love itsize smallbut good toddlers good packing received time thanks,positive
good onego itthanks flipkart amazing offer,positive
delivery timeqty less mentioned seeds packets missing germination rate goodthe image taken almost days sowedwill edit days,neutral
avarage,neutral
good quality,negative
osm prroduct,positive
tight poor quality,negative
superbbb,positive
poor quality,negative
nice product,positive
happy,positive
beautiful excellent delivery fast thank,positive
camera talk back features baby cry subscription dont work ai nothing else camera clearity good day night also camera view mobile person another person need view need share credentials risky,positive
dark smooth long lasting kajal worth thanks flipkart,positive
great keyboard nice key feedback,positive
wall mount super fix set top box,positive
best product affordable price,positive
good product,positive
waste money,negative
one best,positive
love,positive
amazing product excellent phone stand value money heavy stand,positive
good product market,positive
nice product grinding capacity good received good packaging really liked product,positive
good quality products,positive
good price,positive
good,positive
power consumption lot time taking make water hot compared heaters low price,negative
nice curtain,positive
super product one checking review dont search another please buy product karnataka manglore puttur,positive
sound good,positive
supperbb supporter fit mst,positive
satisfiedi use pack mbpsbut get maxthis router capable little high speed internet connection,negative
really amazing sound bass love productvalue money one best sound bar battery backup ausome,positive
satisfied battery speaker poor quality,negative
thank study iq providing us valuable resources,positive
gud,positive
good shown,positive
recent received product suction amazing easy use easy hold,positive
good product amazing,positive
play games casting video photos,neutral
thanks flipkart service received refrigerator time installation demo done time refrigerator working fine,positive
looks good,positive
awesome productmust buy,positive
finest products,positive
loved itvery tough durable material recommend everyone,positive
loved,positive
good,positive
super blanket,positive
valuable product,positive
awesome,positive
good buy size bigger current size,positive
good product child like favorite color,positive
love product useful appearance quality delivery good satisfied value money recommended buy combo,positive
bad,negative
awesome product must buy,positive
wast tonur use print pages,negative
nice go purched big billion offer days,positive
really goodmy daughter happy see combination,positive
best book ssc chsl,positive
overall good design made useless half fridge cant use lower half used design made tight upper half ice cant use daily essentials like milk etc,negative
osm,positive
good protect,positive
brand good,negative
handle broke used product disappointed,negative
dont think go,positive
good love thish product plzz go,positive
gd,positive
nice product every colours water pencils also,positive
delivery boy polite product cant fixed properly try return says try later dont give review usually second time using years flikart got disappointed day okay willing waste money product cant retun returned,negative
really bad product,negative
smell good long lasting less quantity high price recommended buy,negative
fantastic,positive
product quality downfront cover book bad qualityi happy receiving booki give star rating book,negative
excellent product,positive
dont think theres better air purifier price wifi connectivity see air quality even remotely decide switch different city operte ultra quite problem feel theres pre filter washable new filter pretty costly life less acc xiomi best thing quality monitor sensor plus temp humidity sensor looks sleek eye sore mobile app helps,positive
nice productwell packrealy amegingprice also low market rate thanks flip cart,positive
cheap best,positive
amazing product beginnen photographer canon always best better dslrsamazing video shoot dslr,positive
superb,positive
nice good quality,positive
vary nice build strong take also,positive
bast quality product,negative
got delivered good condition good product,positive
small roots,neutral
nice buh one loved product,positive
average,neutral
nice product price,positive
really nice productworth money nambi vangalam,positive
amezing,positive
worth money,positive
bad product waste money,negative
excellent product based price quality compared brands warranty monthsothers providing min year warranty overall good one,positive
supar,positive
good,negative
anchor fastner provided even suitable anchor fastner available market fit basin anchor fastner good experience safety concern,negative
good product recommended usage,positive
totally worth money recommended buying,positive
phone display good apps hanging issue phone phone display also good phone upto mark range better options like moto etc,positive
working worst product return policy,positive
nice product,positive
bad dont buy,negative
bought kg model loved big size compact noise speedy eye catchy easy,neutral
product mark scratches overall good motor working making loud noise iam continuously calling toll free customer care nobody receiving call soo request never buy brand big fraud,negative
give days burn always keep movie mode see magic potential beast keep music mode dont want neighbours complaint volume,positive
amazing fabric quality goodsmart,positive
vary good product go,positive
dont like,negative
good quality,positive
amazing one word need get tata sky dish tv internet connection home work need download apps mobiletab like hot star zee tv voot youtubeyou get serials sports natgeo discovery channels hd,positive
love,positive
super products thaks,positive
stopped working days perchance,negative
working fine expected problem button panel difficult read keep eyes panel level read,negative
nicego,positive
nice product noise,positive
damaged products products returned,negative
excellent,positive
nicee,positive
worst money,negative
baby loved enjoying sofa,positive
worth money battery backup dont buy,negative
dont waste money,negative
much scratches,negative
everything okay good disappointed bass expected,negative
nice clok,positive
best charger also original using,positive
nice,positive
best qualityremote good,positive
good product,positive
excellent installation really happy thank flipkart service,positive
received damage piece,negative
good product service,positive
worth buying tv happy satisfied product got good discount replacing old tvthank flipkart,positive
quality good enough,positive
good quality range,positive
simply owesome beginners bought rs totally loved thank flipkart delivering time,positive
blown sound delivery time sound awesome great feeling every beat proper bass control treble control installation done day engineer delivery boy polite thank flipkart got remote control fantastic loved boat product,positive
vvvv thanks flipcart mind blowing product,positive
pricing wise okay,positive
good wrist support sports game,positive
review depicts bass quality headphone good suppose think would best satisfactory battery backup splendid unbelievable superb whatever may think build also good love use,positive
ok good product,positive
breakable break without fall,neutral
quality good price quality average,negative
great love,positive
good product,positive
really worst dont buy,negative
happy product good,positive
terrific productthis great trouser formal casuallove productthank cyphus,positive
make pizza cake main purpose solved pizza became pappad,negative
nice product amazing good delivery nice persontq tq tq much filpkart nice product tq filpkart,positive
value money awesome product less noisy efficient,positive
amazing buy best price range like hear songs high volume high enough satisfy like also like speakers sound breaks high tone provide good quality sound,positive
good pant temporary use,positive
nice fitted great,positive
nice products,positive
super,positive
worth every penny able control vu smart led tv also able use google home mini macbook cast desktop google chrome bit high latency whereas video file casting smooth flawless tv supports upto hz casting via chrome vlc,positive
worth buying love itgo wont regret,positive
product good,positive
good nicely clean,positive
product useful save water capacity water,positive
mediocre smart watch comes many hiccups first one watch faces watch face gives details like step count heartbeats etc get time day date automatic heart rate detection time duration detection available delay screen opening hand raised sometimes screen misses battery drained daysmain amaze fit bip light way efficient watch,positive
nice experience,positive
gb free storage working well tplink security camera,positive
super,positive
nice useful product,positive
writing review days battery backup good activity tracking also good feature display good design average drawback watch available colours also watch available three colours,positive
looks good pictures pathetic seen personally,negative
overall product good speed little bit slow iam ok,positive
quality superb better buy size usual,positive
super,positive
product delivered installed per promised dates quite impressive unit well built sports premium look worried glass doors theyre sturdy easy open close thanks magnetic locks utilitywise excellent tv unit pricing couldve tad better,positive
quality poor,negative
book many errors mistakes misprints lessons,negative
well satisfied delivery installation,positive
hdd performance good given specification disappoints,negative
greatand nice transferring speed also,positive
love flipcart service good customers care service fast installation service good mi tv love flipcart,positive
good product,positive
cant hold kind weightits broken,negative
waist short tight,neutral
book content precise point binding quality better,positive
good happy wan na purchase thia,positive
awsm product value money,positive
super nice packing safety super crank best family like,positive
baddont buy,negative
child loved,positive
glad chose flipkart purchase got hdfc discount happy chose space grey color looks fabulous performance camera battery quality etc top quality hence doubt macbook air chip definitely better choice compared macbook pro go get macbook,positive
book good one liner qa given also shown question asked ssc year,positive
great product bajaj,positive
cycle amazing use one month cycle,positive
nic,positive
product good buy,positive
good product range,positive
working fine using month bajaj product also great product,positive
absolutely perfect product light gray light green color mixes made nice attractive colour perfect fitting according price quality best enough stress able im happy,positive
good product looking nice,positive
one best segment,positive
picko working properly,positive
nice gloves useful,positive
good value money programs available manual interaction needed set time based needsdisplay missing huge minus point,positive
excellent,positive
play videos youtube video stucking lot able see videos good,positive
worth money,positive
super grow,positive
love,positive
fast delivery good,positive
nice product time delivery,positive
nice product bass also nice,positive
good quality dinner plate size appropriate likebcz price lowso expected better,negative
superb product offer,positive
good product good delivery,positive
body cheap plastic,negative
pathetic product dont guy started issue months touch pad tray never expected kind product samsung,negative
good quality per expectations,positive
excellent product worth giving five stars,positive
nce product like,positive
adapter good cable needs improve,positive
chromecast normal tv becomes better smart tvs also tv becomes remote need manual typing extra remote,positive
quite good,positive
nice products,positive
good smart tv flipcarte best shopping app right time dilivery,positive
kit good works,positive
regular ok,positive
good safety comfortable surgical body,positive
nice yaar,positive
got damage product,negative
nc,positive
unhappy,negative
product quality goodand shown picturenon removable spinner,positive
best price got,positive
good bhk,positive
good product,positive
bad,neutral
good products,positive
best market,positive
colour perfect,positive
good excelent long lasting mind blowing pin football also require,neutral
nice product,positive
product helpful effective please use daily exercise product use support health specialaly pai testicular recommend friends,positive
good quality product buy want oven itz awesome using last monthitz best,positive
good qualityloved shown picture,positive
hi got product flipkart first got defective piece got proper replacement working good months passed stopped working,negative
product extraditedary product altimate,positive
easy order products nice app reach time love,positive
bad expirence,negative
thanks fipcort,positive
awesome nd make eyes nice,positive
worth buy pricerich look,positive
bad small cost high waste money,negative
google assistant far better alexa sound quality increased bass treble voice clarity good alexa speaker,positive
excellent video quality even night good one hero cheers,positive
good sound quality,positive
good book guidance,positive
name enough singer machine suits house requirements installation done company convinced time,positive
great product value money,positive
display quality super,positive
product awesome go without much thinking water tastes good purification water quality good area tds level high around brought low filtration thanks flipkart livepure support team providing smooth setup experience,positive
product quite handy especially want daily things smart way really get collaborated devices well first process configuration quite easy case pairing easily remove security wifi router paired google home android app works like charm ask languages ie english hindi quite compact used variety locationsin,positive
bad product,negative
works well low volume,negative
amazing,positive
top best product,positive
review days installation within hrs delivery purification perfect price alteast low ok total years service every months,positive
good product,negative
worst,negative
waste money,negative
good job msi,positive
nice product quality nice price range,positive
excellent product op,positive
nice product thanks flipkart,positive
superb performance groth rate also unbelivable,positive
nice liket,positive
nice,positive
superb purchase,positive
plug fitting properly purifier connection loose takes long time effort switch purifier,negative
easy use awesome product make simple tv smart tv,positive
excellent product,positive
cloth quality markthe colour awesomeyou buy itworth price rate rs,positive
vary bad product,negative
nice quality materialssize enough daily works like studying working computer etcvalue moneyrs fully detachable make easy options shipment,positive
good laptop delevery boy gentlebut laptop come microsoft subscription,positive
worst washing machine removing stains clothes less options value product upto mark price,negative
best class looks performance expect price range,positive
comfortable cushions,positive
writing six weeks continuous use minimum loads per day occasions excellent product super efficient quiet operation utensils cleaned thoroughly hygienically come sparkling something never achieve hand washing even heavy ones like kadhai used indian cooking problem removed lot misconceptions utility dishwashers indian contextuses half large bucket water per load,positive
bad experience wifi working one month,negative
good quality material comfortable,positive
ok working supper dont add water,positive
top quality,positive
good take much smaller,positive
good product nice packaging,positive
product good happy,positive
product good price considering got around flipkart failed provide installation decided using detailed manual provided two pieces one leg piece table top piece fact drilled wrong side hence finished product couldnt perfect table issue installing cant even return price decent hence gave stars else,negative
good product produce heat frewuently,positive
worst item never seen product dont buy product,negative
quality low,negative
good design material comfortable,positive
quality excellent wheels stronger think best skate upto years kids,positive
best quality low price thnq flipkart,positive
indeed better firestick although less functionalities google everything becomes organised due lack alexa ecosystem well apple google becomes great choice maintain digital ecosystem,positive
super product quickly heating,positive
good product good company small completely right product lit good service flipkart ekart,positive
awesome amazing blass top best headphone boat love,positive
nice,positive
good sewing machine used two three times purchase nice home repair work little noisy already earlier reviews good space saver,positive
dont buy thissimply noisybuild quality lowin first useback pin ejected woofer dont waste moneysimply trouble noisy using also,negative
khub bhalo product nijer ghorer jonno happy,positive
beautiful product everyone best quality product low price,positive
product installation quite excellent,positive
geniuinly good book,positive
good size small,positive
wow great itemperfect packthanks seller flipkart spcila thnx ekart guy badhusha trivandrum,positive
good,positive
bad,negative
nice product affordable price,positive
working fine following ifb guidance,positive
years using still single damage powerful motor thing loud sound motor overall good,positive
usefull product however plastic quailty good,negative
nice product really value money,positive
hot cold hours good quality nice product,positive
wow,positive
good useful product,positive
waste product,negative
nice thank flip kart,positive
best,positive
months use gon na list pros cons headphone pros superb sound quality bass awesome battery backup great design control buttons plus wired mode allows us use even discharged cons noise cancellation mice great also feels little heavy long use,positive
great product,positive
good quality sturdy labels removed parts took little long assemble still worth would recommend anyone,positive
installation given time service good thanks pureit team,positive
warm beautiful blanket good couples also,positive
vary badd,negative
amazing mivi sound bar sound bass quality nice loud clear sound quality also battery backup good,positive
honest dishwasher useless indian household thing wash mild gravy residual plates thats rest worthless,negative
value money,positive
set top box good tubicast app working properly whenever tried search youtube get crashed mobiles home screen appears bought youtube searching videos company work solve problem got disappointed set top box,negative
wow good product,positive
product good fast charger,positive
pipe hard rod breaked,neutral
great,positive
thanks miltan filpkart,positive
nice product good packing conditionand appreciated flipkart ekatr service,positive
good,positive
good producti happy,positive
look design overall good product happy urban terrain cycle,positive
nice product packing also good safe,positive
nice,positive
good procrcer,positive
awesome product good quality dont wait go performance super,positive
good product,negative
nice product quality soo good degine soo good,positive
poor quality one bring,negative
thank flipkart amazing cushion,positive
bad,negative
cap loose dont buy pakka broke,negative
good nice product,positive
good soldering gun quality excellent working fine comes everything need including solder wire flux tester stand making comprehensive kit beginners heats quickly performs admirably sufficient needs simple secure use,positive
honestly didnt like product cant deny quality product good go,positive
im happy ipad good gets heated charging playing games watching videos,positive
good happy product thank flipkart,positive
strain pulp pulp comes mesh want juice need use strainer strain juice point juicer mesh still need exercise mess thing separte strainer worth buying need proper juice extract ers trainer though grinding mixing good bought specifically dor juice extraction worth using since last days return da,negative
poor,negative
nice products marq,positive
value money,positive
best cheapest,positive
related content available booksimply best book bank exam preparation,positive
good value money got less price,positive
good chargerfast delivery,positive
nice one go,positive
beautiful rice plate smaller paratha serving best,positive
nice seeds good im sharing day day pics get seeds,positive
like,positive
received good condition working fine sure effectiveness bought two years extended warranty idea could utilised availability spares service trivandrum found,neutral
everything good product used big areas well cover big space well use essential oils camphor,positive
cleaning good much wastage water,negative
product displayed online store impressed delivery delivers days delivery date product components good conditions worth buying product branded one price range inr thank lot flipcart,positive
damaged,negative
good product affordable,positive
nice quality,positive
amazing product loved much worth buying product,positive
power backup could better takes much time charging build quality great,positive
good page print cartridge damage,negative
excellent product running good,positive
beutiful nice paking like,positive
amazing product,positive
pain assemble bad finishing product seems overpriced compared quality,negative
sorry use bat smell west money,negative
great dishwasher especially tough pendemic times lifesaver till faced issues thank bosch thank flipkart,positive
perfect software developments really powerful macbook,positive
nice kajol thinking buy best kajol go lakme kajol,positive
bst bt okey,neutral
worst product used times got repaired satisfied product,negative
excellent product quality,positive
good product price really satisfied,positive
good quality best experience thanks flipkart good quality price love flipkart please subscribe channel channel name subhankar vlog,positive
awesome quality useful,positive
nice prodact,positive
using month joints get slightly apart dont know anybody seen product also,negative
better price,positive
perfect,positive
setupbox catvisiongood productthanks flipcart suported,positive
good qualityas prize lets taken,positive
best products,positive
amazing product complete set decoration good quality looked perfect recommended,positive
nice sound best product,positive
ok,neutral
nice product,positive
helpfuland effactive found problem calling maxim noise,negative
fantastic product flipkart company excellent coustomer happy,positive
bought girl friend happy thak flipkart,positive
satisfied refils weak bucket also strong damaged,negative
highly recommended product must buy increased baby birthday decorations,positive
nice piece,positive
awesome,positive
happy,positive
amazing thanks flipcart,positive
super cloth amazing,positive
camara goodplease add flash light,negative
nice bag,positive
awesome finish touch however got bit costly season overall recommended looking tv cabinet,positive
excellent,positive
best cooler best flipkart delevery thank flipkart team best fast flexicable service,positive
waste products,negative
fantabulous rtx,positive
loved product much quality gud thanks flip kart amazing product,positive
must buy productif looking cushions,positive
strong,negative
good storage reasonable price move rather gb hdd almost price woild recommend one transfer speed good,positive
dont buy bad product,negative
super,positive
good working finethanks flipkart providing good price,positive
exactly mentioned images satisfied quality size shape also service little high product good enough,positive
good product,positive
better expected nice product also contains aux cable also good good product flipkart,positive
quality good,positive
awesome product,positive
cleaning food processor seems huge task onions get chopped tiny pieces way processor cut tomatoes weird pro poe rti ate cant used cut ladys finger beans etc carrots cucumber beets chopped nicely used making cake batters useful women little time spend kitchen recommend,positive
good product little loose,negative
good low volume small room need little sound clearty,positive
good rubber ballcheaper better,positive
amazing kajalmust buy,positive
thanks,positive
sound must buy bass needs,positive
shown picture good product,positive
nice like,positive
worth product,positive
perfect dark brown colour goes every wall colour product pieces joined easily screwdrivers nails already provided big size decorate decorative pieces fab product perfect every type house love thanks flipkart,positive
good products,positive
excellent product amazing performance,positive
dinner plates quite small size,neutral
seeds ar good bad,negative
using router past days experience good product recommended buybest product price,positive
lakme eyeconic kajal good product,positive
chip waist money son play minutes,negative
good month clothes started tornso suggested buy,positive
good gloves workprice high,positive
bad top,negative
metal rod quality gud already bend,neutral
nice productit fit ageit good ro swimmingthe hair cover ver good swimming hair remain dry,positive
set perfume awesome love amazing fragrances also love packaging truly impressed,positive
exllent,neutral
super comfortable metirial nice,positive
exceptional good product power backup good excellent,negative
portable machine true sense worth every penny,positive
waste money quality poor,negative
good also tubeless,negative
good bad,negative
beautiful product,positive
work shown picture easy task,negative
bad uncomfortable,negative
excellent value money,positive
nice entry level camera satisfied product canon,positive
worst day cable damaged,negative
product service good installation perfect,positive
quality good,positive
working ok,positive
nice product seen gd design improvement size biggest product nicebut nice product cheap besti hopes product manufacturing company send item manual book order thnx lot,positive
ok price,positive
good stuff,positive
excellent product,positive
average product,neutral
broken platesbut good quality,negative
watch better,positive
product quality goodvery low quality,positive
nice poco,positive
bad quality break small weight,negative
value money suitable member family,positive
excellent laptop go blindly,positive
worst product money waste,negative
working days dont buy buy cheeeeeeee waste money,negative
wastage fruits much pots become much dirty useits gear partially damaged single usefeeling sadness purchase juicer,negative
awesome feel proud macbook owner performance look battery backup extraordinary,positive
everyone buy product,neutral
beautiful,positive
im writing review using product best tv get budget picture sound quality excellent last update tv gets connected wifi bluetooth speaker automatically mi updates software necessary voice search button searchs everything open youtube browser tv play store tv amazon prime netflix apps get alternate options ov,positive
delivered time good packing condition enough small family product good,positive
overall experience urban terrain much worth installation services delivery service also good,positive
nice product lowest price offered flipkart waiting demo,positive
worth money,positive
iam satisfied protection almost good,positive
super,positive
super good,positive
thank,positive
cheap product,negative
good product looking would suggest go,positive
nice bag,positive
overall good experience,positive
thank uh,positive
nice entry leble product singer indiaperfect big gner online offline market machine came costbuild quality also goodcon demo provided easily follow many time came pico foot purchase sapratly,positive
simply awesomeeasy learn easy usejust peddle,positive
good productand easy usenice quality cheap pricegot extra refillcan suggest others,positive
overall good product,positive
good product,positive
clock nicelooking great size little small expected little big,positive
worst product waste money,negative
nice,positive
good,positive
good bad,positive
good slow rpm,positive
good fabric good quality,positive
best tablet,positive
even though made payment via internet banking yet product delivered next day date order kind good service cant expect stores like snapdealif made payment advance either ship product time deliver flipkart kind good service expected,positive
poor quality stitching,negative
nice quality good,positive
good product battery backup good sound quality nice,positive
super thank flipcart,positive
value money,positive
supb,neutral
really good product shown display picture thanks flipkart,positive
good quality,positive
nice good productvalue mony,positive
finishing goodlot scratches,neutral
good quality item,positive
awesome product amazing,positive
bad,negative
good nice,positive
average quality,neutral
nice worth,positive
balloons quality good,positive
good product like thanks flipkart,positive
good,positive
good,positive
worthy,negative
lower portion smalloverall goof product color lovable,positive
content good,positive
good pent wash pent fitting,negative
time delivery gud product nice printinghp original ink,positive
good simple strong table chair combination requires less space go want type simple foldable table chair,positive
great,positive
osum product purchase nice product,positive
look good belt loose,negative
good,positive
bil quality better sound quality goodlight waight product,positive
excellent device brings pm level minutes convenient aspect mi turn wirelessly anywhere using phone highly recommended,positive
best book class th solve sample paper completely believe marks confirmed thats want achieve good marks exams purchase,positive
god,positive
worst product,negative
nice,positive
quality us good,positive
getting hang also working properly smat tv,negative
good product must buythank flipkart,positive
happy product,positive
packing good super product,positive
rich bass excellent crystal clear sound quality best budget,positive
go good,positive
awsm product,neutral
given picture loved,positive
nice lakme eyeconic kajal,positive
awsm purchase,positive
useful,positive
absolute local speakers effect waste money dont buy,negative
super,positive
bad product damaged month,negative
first received used defect product exchange newer one exchange quick easy one material thin hardly year use think brought one neighbor purchased local shop great okay price,positive
good,positive
best price,positive
good product easy use clean vacuum well drawback heats within minutes,positive
nice band,positive
super,positive
quality good looking beautiful easy use nice product,positive
good vary por,negative
amazing product sound good,positive
nice product fast delivery imperasive product free installation,positive
poor quality,negative
value money,positive
excellent,positive
delivery boy polite helpful nice behaviour,positive
good quality satisfaction self,positive
good appliance useful,positive
faulty product,negative
best book reasoning banking aspirants thank sourav sir great book,positive
ohk product according money,neutral
excellent thank flipkart,positive
overall ok productwhile opening found dents surfacethe drawback table stablewhen write something starts moving shaking made study purposes otherwise ok keeping things top,positive
niceee,positive
working properly bobin crating problem days,negative
quality ply good started bending middle due weight recommended,negative
cheapest,neutral
looks good,positive
length fit awesome even fabric super comfy,positive
wow amazing product good work,positive
nice product,positive
nice product fabricsame shown picture,positive
excellent,positive
nice washing machine good product thanks flipkart haier company,positive
low quality,negative
excellentlow price best quality,positive
best small spaceeasy install fabric quality good otherwise product good,neutral
dost feel difference room air quality using month,negative
brand new good condition receieve star,positive
amazing one perfect one go ahead buy,positive
good product,positive
cover thickness bad shipping charges much,negative
good,positive
classic elegant design fast responsive,positive
good one,positive
good quality,positive
wow bomb sound effect super quality super clarity fantastic fabulous iam happy thank flip kart thank much,positive
good product good fitting looks,positive
nice elegant look quickly absorb water bath worth purchase,positive
nice product small size,positive
nice tab price range,positive
awesome product thank flipkart,positive
good,positive
good product,negative
plant come soil,negative
product nice,positive
awesome product,positive
average,neutral
owsm speed yr servicing awsome think flipkart best company ever,positive
best soundbar pricego itbest bass sound quality,positive
good mi note pro,positive
value moneyi like design well,positive
small poor quality materials used,negative
device good wifi range high speed connection help youi mbps connection device claims broadcast connection upto mbps even working right device getting around mbps speedso high speed connection get extender repeater broadcast ghz band,negative
bad material small size,negative
excellent product,positive
bad,positive
best harddisk ive ever bought constant mbps speed usb gen port mbps usb port years data rescue auto backup features provided harddisk harddisk lightweight compact size looks good finishing design also superb go without hesitation,positive
extremely fantastic product,positive
camera quality increased,positive
product nice product give stars stars value money mi tv stick super remote also super product super thanks flipkart,positive
happy shopping,positive
product really awesome usefulthis contains much information related class board really worthful,positive
nice product deliverd install within hours placed order,positive
graphics good ball great obvious play ball continuously get depleted ball great issues ball using almost months perceiving problem confusion buying ball,positive
average sandals,neutral
best books human anatomy,positive
nice,positive
good one worth buying,positive
product shown mobil good heavy shocked received thinmy view making customer fool,negative
nice product good tieria thank filipcart iws,positive
good thanks,positive
best coolerlow noise better cooling,positive
poor quality stiching,negative
good product,positive
good,negative
small money,negative
good,positive
wireless screen sharing available,positive
charger fast full battery hours im satisfied charger,negative
always graceful products flipkart also good platform buy waterproof smudge proof also hours rubbing rroughldont hesitate buy,positive
nice good quality,positive
good product,positive
comfortable running dont buy want running purposes,negative
good product best discount,positive
good,positive
good nice product,positive
using oil first time totally happy keeps head cool makes hair smooth bath,positive
poor product,negative
supper,positive
water spray fragrance pls dont buy,positive
awesome tvhd channels clarity good normal sd channel clarity good sound good connectivity issue easily connect internet mobile hotspot finally got good tv benefits finally flipkart delivery time installation patience engineersgot superb tv rs thank flipkart,positive
poor quality,negative
comfortable,positive
awesome device think everyone staying delhi ncr none companies able offer kind quality price offers cadr cubic metres per hour none competing devices match price would need pay least times get cadr filter motor sensor japan temp humidity sensor switzerland top iot device means gets connected,positive
woww nice geyser dont think much jst go loved vry much,positive
price wise great product decent quality,positive
fan speed low great cooling,positive
good thora size small hai,positive
attachments fit machine waste money,negative
nice goodtysm flipkart,positive
worth money good one,positive
good luck,positive
approx seeds germinate try,neutral
helpful protective knee pain relief mother like,positive
nice size small,positive
good suggest anyone,negative
good product within budget got rs delivered installation time one concern buy separate prefilterer charges rs extra included product price overall good product,positive
quality product good suitable kids till age yearsthank wonderful product flipkart,positive
